Gathering Spot,"Sky","...",1411,90,-4936
BROKEN,"Gathering Spot","null",1242,143,-4849
Gathering Spot,"Sky","...",1085,129,-4862
Gathering Spot,"Sky","...",1305,67,-4675
Gathering Spot,"Sky","...",1119,158,-4591
Gathering Spot,"Sky","...",1271,119,-4739
NPC,"Siegfried Fan Item Merchant","Merchant",1032,110,-4589
Gathering Spot,"Sky","...",1083,129,-4864
Gathering Spot,"Sky","...",1306,126,-4914
NPC,"Recipe Merchant","Merchant",917,53,-4297
ServiceNPC,"Powder Master","...",1066,20,-5154
Gathering Spot,"Sky","...",1322,67,-4664
Gathering Spot,"Sky","...",1230,143,-4437
Gathering Spot,"Sky","...",1330,188,-4440
Gathering Spot,"Sky","...",1081,130,-4853
Gathering Spot,"Sky","...",967,142,-4858
Gathering Spot,"Sky","...",1303,142,-4561
Service,"Cooking Station","...",962,127,-4474
Gathering Spot,"Sky","...",992,157,-4830
Gathering Spot,"Starfish","...",1090,127,-4680
Gathering Spot,"Sky","...",1012,108,-4695
Gathering Spot,"Oak","...",1393,78,-4938
Gathering Spot,"Diamond","...",1202,50,-4812
Gathering Spot,"Sky","...",1338,184,-4472
ServiceNPC,"Potion Merchant","...",1121,107,-4549
ServiceNPC,"Item Identifier","...",1035,21,-5110
Gathering Spot,"Sky","...",1316,67,-4686
Gathering Spot,"Voidstone","...",1048,67,-4815
Gathering Spot,"Sky","...",1334,184,-4482
Gathering Spot,"Sky","...",1247,49,-4349
Gathering Spot,"Sky","...",1281,119,-4734
NPC,"Stone Tablet","...",1554,122,-5022
Gathering Spot,"Sky","...",1357,79,-4648
Gathering Spot,"Sky","...",1025,151,-4835
NPC,"Frank","...",901,55,-4289
BROKEN,"Gathering Spot","null",1075,119,-4462
Gathering Spot,"Sky","...",1089,187,-4540
NPC,"Ahmsord Citizen","Citizen",1048,115,-4550
Gathering Spot,"Sky","...",1231,146,-4606
ServiceNPC,"Blacksmith","...",1055,20,-5146
Gathering Spot,"Sky","...",1289,138,-4918
Gathering Spot,"Sky","...",871,100,-4484
Gathering Spot,"Hemp","...",1477,61,-4943
NPC,"Chef Hamsey","...",949,129,-4475
Gathering Spot,"Sky","...",1014,108,-4698
Gathering Spot,"Sky","...",1397,144,-4696
Gathering Spot,"Sky","...",1473,150,-4941
Gathering Spot,"Sky","...",1129,130,-4909
Gathering Spot,"Sky","...",1295,117,-4752
Gathering Spot,"Sky","...",1293,67,-4684
Other,"Kandon-Beda Bank","§2Kandon-Beda Bank",750,150,-4492
Gathering Spot,"Sky","...",1340,139,-4635
Gathering Spot,"Hemp","...",1072,118,-4454
Gathering Spot,"Sky","...",1080,129,-4862
NPC,"Siegfried Fan","...",1020,112,-4546
Gathering Spot,"Oak","...",1478,59,-4954
Service,"Tailoring Station","...",1108,104,-4558
NPC,"Wig Merchant","Merchant",994,114,-4509
Other,"Kandon-Beda Bank","§2Kandon-Beda Bank",749,150,-4499
Gathering Spot,"Sky","...",1011,167,-4831
NPC,"Excited Fan","...",1030,112,-4545
Service,"Weaponsmithing Station","...",1000,114,-4542
Gathering Spot,"Willow","...",1106,127,-4883
Service,"Scribing Station","...",1078,20,-5142
Service,"Housing Balloon","...",1029,112,-4600
Gathering Spot,"Sky","...",1269,185,-4467
Gathering Spot,"Sky","...",1131,183,-4547
Gathering Spot,"Sky","...",1256,185,-4477
Gathering Spot,"Sky","...",1293,190,-4480
Gathering Spot,"Sky","...",1258,164,-4557
Other,"Kandon-Beda Bank","§2Kandon-Beda Bank",734,151,-4488
Gathering Spot,"Sky","...",1234,67,-4961
Gathering Spot,"Sky","...",1211,142,-4611
Gathering Spot,"Sky","...",1040,150,-4858
Gathering Spot,"Sky","...",1047,120,-4462
Gathering Spot,"Sky","...",1337,87,-4444
NPC,"Rodoroc Citizen","Citizen",1032,31,-5103
Gathering Spot,"Sky","...",962,45,-4429
Gathering Spot,"Sky","...",1198,153,-4509
Service,"Jeweling Station","...",1071,20,-5127
Gathering Spot,"Hemp","...",1271,125,-4713
Gathering Spot,"Diamond","...",1249,65,-4765
Gathering Spot,"Sky","...",1376,88,-4405
Other,"Theatre Schedule","§bTheatre Schedule",1122,127,-4551
Gathering Spot,"Sky","...",1118,109,-4746
BROKEN,"Gathering Spot","null",1000,159,-4835
Gathering Spot,"Sky","...",1129,184,-4530
Gathering Spot,"Sky","...",965,45,-4425
Gathering Spot,"Jungle","...",1256,37,-4104
Gathering Spot,"Sky","...",1295,117,-4748
Gathering Spot,"Sky","...",1269,165,-4557
Gathering Spot,"Hemp","...",1090,117,-4438
Gathering Spot,"Sky","...",1337,78,-4668
Other,"Golden Spoon Award 1000 AP","§6§lGolden Spoon §6Award 996 AP",958,54,-4276
ServiceNPC,"Emerald Merchant","...",1073,108,-4562
Gathering Spot,"Molten Eel","...",1242,69,-5001
Gathering Spot,"Sky","...",1038,108,-4753
Gathering Spot,"Sky","...",1475,149,-4932
Gathering Spot,"Jungle","...",1273,37,-4122
Gathering Spot,"Willow","...",1126,124,-4896
Gathering Spot,"Sky","...",1275,137,-4935
Other,"Ahmsord Bank","§2Ahmsord Bank",1081,111,-4560
Gathering Spot,"Sky","...",858,61,-4478
Gathering Spot,"Sky","...",1239,135,-4911
Gathering Spot,"Sky","...",1368,93,-4483
Gathering Spot,"Sky","...",1459,148,-4932
Gathering Spot,"Voidstone","...",1073,69,-4820
Territory Post,"Sky Falls","...",1404,117,-4614
Gathering Spot,"Sky","...",1036,108,-4755
ServiceNPC,"Emerald Merchant","...",745,147,-4496
Gathering Spot,"Sky","...",1284,64,-4762
Gathering Spot,"Sky","...",884,108,-4419
Gathering Spot,"Sky","...",1365,92,-4920
Gathering Spot,"Sky","...",1338,139,-4633
Service,"Cooking Station","...",1053,20,-5159
Gathering Spot,"Willow","...",1106,126,-4860
Gathering Spot,"Sky","...",1025,107,-4645
Gathering Spot,"Sky","...",1001,109,-4748
Gathering Spot,"Sky","...",1237,177,-4850
Gathering Spot,"Sky","...",1289,123,-4725
Territory Post,"Jofash Docks","...",1256,39,-4111
Gathering Spot,"Sky","...",1290,67,-4687
Gathering Spot,"Sky","...",1220,143,-4429
Gathering Spot,"Sky","...",862,132,-4398
Gathering Spot,"Starfish","...",1299,189,-4479
Other,"Kandon-Beda Bank","§2Kandon-Beda Bank",742,153,-4476
Service,"Boat Fast Travel","...",1261,37,-4087
Gathering Spot,"Sky","...",1313,67,-4690
Gathering Spot,"Molten Eel","...",1241,69,-5003
Gathering Spot,"Sky","...",1109,122,-4759
Gathering Spot,"Sky","...",1319,67,-4673
Service,"Jeweling Station","...",1100,103,-4567
Gathering Spot,"Diamond","...",1238,66,-4783
Gathering Spot,"Sky","...",1105,166,-4468
Gathering Spot,"Sky","...",1289,123,-4719
Gathering Spot,"Hemp","...",1001,159,-4832
Gathering Spot,"Sky","...",1253,132,-4938
Gathering Spot,"Sky","...",1343,143,-4577
Gathering Spot,"Diamond","...",1249,63,-4758
Service,"Alchemism Station","...",735,155,-4480
Gathering Spot,"Jungle","...",1300,37,-4101
Other,"Kandon-Beda Bank","§2Kandon-Beda Bank",743,151,-4496
Gathering Spot,"Sky","...",1324,148,-4594
Other,"Chef's Dining Hall","§6Chef's Dining Hall",917,54,-4282
BROKEN,"Gathering Spot","null",1276,125,-4703
Gathering Spot,"Molten Eel","...",1233,69,-4993
Gathering Spot,"Sky","...",1038,150,-4856
Gathering Spot,"Sky","...",1252,131,-4800
ServiceNPC,"Potion Merchant","...",749,150,-4476
Gathering Spot,"Sky","...",1044,120,-4465
Gathering Spot,"Sky","...",1108,137,-4437
Gathering Spot,"Oak","...",1399,78,-4938
Gathering Spot,"Sky","...",1003,107,-4636
Gathering Spot,"Sky","...",1210,165,-4845
Gathering Spot,"Sky","...",1147,107,-4796
Gathering Spot,"Starfish","...",1310,35,-4082
Other,"Wig Shop","§r§6Wig Shop",997,121,-4513
NPC,"Crane Mechanic","...",1096,102,-4521
Territory Post,"Wybel Island","...",1310,68,-4685
Gathering Spot,"Hemp","...",1067,122,-4472
ServiceNPC,"Blacksmith","...",744,152,-4461
BROKEN,"Gathering Spot","null",1478,151,-4941
Gathering Spot,"Sky","...",1218,155,-4440
Gathering Spot,"Sky","...",1009,167,-4829
Gathering Spot,"Sky","...",1232,188,-4492
Gathering Spot,"Sky","...",1337,142,-4564
Gathering Spot,"Sky","...",1287,65,-4684
Gathering Spot,"Sky","...",1249,74,-4983
Gathering Spot,"Sky","...",1236,70,-4975
Territory Post,"Rodoroc","...",1045,20,-5135
Gathering Spot,"Sky","...",1258,185,-4480
ServiceNPC,"Emerald Merchant","...",1081,108,-4562
ServiceNPC,"Scroll Merchant","...",953,118,-4593
Gathering Spot,"Sky","...",852,123,-4483
Gathering Spot,"Sky","...",1324,188,-4454
Gathering Spot,"Oak","...",1440,81,-4944
Gathering Spot,"Sky","...",1106,113,-4656
NPC,"Talking Mushroom","...",1100,126,-4869
Gathering Spot,"Sky","...",1190,144,-4579
NPC,"Lozeg","...",1021,20,-5149
Gathering Spot,"Sky","...",1042,150,-4856
Gathering Spot,"Sky","...",934,161,-4517
Gathering Spot,"Sky","...",1007,167,-4831
Territory Post,"Path to Ahmsord Lower","...",839,113,-4538
NPC,"Ahmsord Citizen","Citizen",1032,116,-4509
NPC,"Skyraider Guard","...",1476,85,-4336
Gathering Spot,"Sky","...",952,151,-4547
Gathering Spot,"Sky","...",1220,162,-4825
Gathering Spot,"Sky","...",853,61,-4448
Gathering Spot,"Sky","...",1240,177,-4847
Gathering Spot,"Sky","...",1086,108,-4751
Gathering Spot,"Sky","...",1222,162,-4827
ServiceNPC,"Weapon Merchant","...",925,110,-4543
Service,"Trade Market","...",1001,115,-4566
