ServiceNPC, Armour Merchant, ..., -467, 49, -4922
ServiceNPC, Armour Merchant, ..., -865, 67, -1561
ServiceNPC, Armour Merchant, ..., -869, 67, -1557
ServiceNPC, Blacksmith, ..., -1431, 42, -4734
ServiceNPC, Blacksmith, ..., -1479, 42, -4747
ServiceNPC, Blacksmith, ..., -459, 49, -4929
ServiceNPC, Blacksmith, ..., -464, 49, -4918
ServiceNPC, Blacksmith, ..., -464, 49, -4926
ServiceNPC, Blacksmith, ..., -727, 100, -6444
ServiceNPC, Blacksmith, ..., -727, 90, -636
ServiceNPC, Blacksmith, ..., -825, 67, -1495
ServiceNPC, Blacksmith, ..., -833, 67, -1586
ServiceNPC, Blacksmith, ..., -858, 67, -1549
ServiceNPC, Emerald Merchant, ..., -1449, 44, -4716
ServiceNPC, Emerald Merchant, ..., -1449, 44, -4736
ServiceNPC, Emerald Merchant, ..., -416, 49, -4919
ServiceNPC, Emerald Merchant, ..., -425, 49, -4910
ServiceNPC, Emerald Merchant, ..., -727, 102, -6453
ServiceNPC, Emerald Merchant, ..., -850, 67, -1596
ServiceNPC, Emerald Merchant, ..., -856, 67, -1599
ServiceNPC, Emerald Merchant, ..., -864, 67, -1600
ServiceNPC, Emerald Merchant, ..., 9, 66, -3212
ServiceNPC, Emerald Merchant, ..., 9, 66, -3222
ServiceNPC, Item Identifier, ..., -1467, 42, -4718
ServiceNPC, Item Identifier, ..., -437, 47, -4950
ServiceNPC, Item Identifier, ..., -803, 67, -1569
ServiceNPC, Liquid Merchant, ..., -425, 47, -4927
ServiceNPC, Liquid Merchant, ..., -433, 47, -4919
ServiceNPC, Potion Merchant, ..., -1467, 42, -4734
ServiceNPC, Potion Merchant, ..., -493, 47, -4950
ServiceNPC, Potion Merchant, ..., -737, 102, -6443
ServiceNPC, Potion Merchant, ..., -821, 68, -1593
ServiceNPC, Potion Merchant, ..., -872, 59, -6010
ServiceNPC, Powder Master, ..., -463, 47, -4957
ServiceNPC, Scroll Merchant, ..., -1431, 42, -4718
ServiceNPC, Scroll Merchant, ..., -456, 47, -4957
ServiceNPC, Scroll Merchant, ..., -816, 67, -1561
ServiceNPC, Weapon Merchant, ..., -462, 49, -4900
ServiceNPC, Weapon Merchant, ..., -808, 68, -1596
